Tweet Text,Account,Timestamp,Latitude,Longitude
@piersmorgan @Teddy_Jenkins very sad that #WalterScott was murdered by the very people sworn to protect him,GrantColl,08/04/2015 13:41,55.844828,-4.295259
I hope this isn't just a formality for a NOT GUILTY!!! The family needs a wrongful death lawsuit as well  https://t.co/Kl5opUK7c8,TriceAngela,08/04/2015 13:41,0,0
"RT @ajc: ATL attorney representing family of #WalterScott, shown in video being shot by S.C. officer. http://t.co/dmOfvI5TOz http://t.co/2S?",MicSeanNYC,08/04/2015 13:41,0,0
"RT @TheObamaDiary: While the media scramble for mugshots of #WalterScott, this is him.

Rest in peace.

http://t.co/XiDGjxFord http://t.co?",_ItsTaylorTime,08/04/2015 13:41,0,0
"Disaster sex in a hospital
Watch the video here
http://t.co/2fJw71rDTc
#WalterScott
1042 http://t.co/ivt0QCXtH8",CowpAlfonsa,08/04/2015 13:41,0,0
RT @Bipartisanism: #FoxNews and #CNN are covering the  #WalterScott murder in very different ways: http://t.co/Z2Z9AK2DUT,Safri_mista,08/04/2015 13:41,0,0
RT @halseymusic: Our society is on its way to being desensitized to the murder of innocent people by the law. There's a human behind the ha?,Heartbreaklz,08/04/2015 13:41,0,0
RT @Bipartisanism: THIS FRESH PRINCE EPISODE AIRED 23 YEARS AGO. 23 YEARS AND NOTHING HAS CHANGED #WalterScott http://t.co/fkTYOU7Ctm,Fear_Of_God_27,08/04/2015 13:41,0,0
The #WalterScott murder proves that racist cops have one thing in mind and that's the extinction of the Black man,TheHOodRept____,08/04/2015 13:41,0,0
"RT @Bipartisanism: How to survive a police encounter:
 #WalterScott http://t.co/iVxR15u25K",syedhonda,08/04/2015 13:41,0,0
"RT @JohnnyHeldt: Officer Michael Slager, charged in death of #WalterSCott, denied bond tonight http://t.co/MutjSZW5jK http://t.co/KU937tsis?",xcrystalssx,08/04/2015 13:41,0,0
@CharlieRoseShow Full HD VIDEO #WalterScott Shot 8x IN FUCKING BACK By SC Armed Pig #MichaelSlager #FTP #Ferguson https://t.co/5LOapBA2Qt,Marland_X,08/04/2015 13:41,0,0
RT @km_mixedlove: The cop knew he was going to kill #WalterScott &amp; no remorse after he did it. He was more worried about not getting caught.,with_da_fro,08/04/2015 13:41,0,0
"RT @SavageComedy: Unarmed. Back turned. Still killed.

Don't let anyone not see this tonight.

#WalterScott http://t.co/PkUONbnC52",charlesdd_,08/04/2015 13:41,0,0
"RT @FearDept: Judging by the video, everything was done by the book:
? Suspect eliminated
? Evidence planted
? Police reports falsified
#Wa?",polyglot84,08/04/2015 13:41,0,0
"RT @TheObamaDiary: While the media scramble for mugshots of #WalterScott, this is him.

Rest in peace.

http://t.co/XiDGjxFord http://t.co?",lisadfwu,08/04/2015 13:41,0,0
@ShaneClaiborne thank you for posting this picture. #WalterScott,tarshelb,08/04/2015 13:41,0,0
"RT @lex_looper: Before the video of #WalterScott being shot 8 times in the back, mainstream media claimed he fought for the officers taser ?",zgevo,08/04/2015 13:41,0,0
RT @NarinderSingh: Mayor says it was ?a bad decision.? Sleeping late is a bad decision. Shooting an unarmed man is an execution. #WalterSco?,gorey_not_grim,08/04/2015 13:41,0,0
#WalterScott I don't know what to say. #BlackLivesMatter,RonShelley2,08/04/2015 13:41,0,0
RT @JoeDunman: Cop was a Coast Guard vet. His service was cited by NY Times. #WalterScott was a Coast Guard vet. His rap sheet was cited by?,parshooter321,08/04/2015 13:41,0,0
RT @NBCNews: White cop Michael Slager charged with shooting murder of black man #WalterScott http://t.co/H33h5qWZ3y http://t.co/Z7G3gEU5OD,QueenB_duh,08/04/2015 13:41,0,0
"RT @Ziggy_Daddy: If armed white cops feel threatened by unarmed black men, imagine how unarmed black men feel about armed white cops. #Walt?",Russian_Starr,08/04/2015 13:41,0,0
"RT @dstarwriter59: If you do not mourn because he is Black,mourn because he is human. Surely you can understand the pangs of the human cond?",Drea679,08/04/2015 13:41,0,0
RT @fox5newsdc: White South Carolina officer charged with murder for shooting black man.  http://t.co/QkKoDsTPvq #WalterScott video http://?,jasmineee_ovoxo,08/04/2015 13:41,0,0
"RT @Sifill_LDF: What I know: w/o #Ferguson movements &amp; #BlackLivesMatter, the #WalterScott story would not have been the lead story on the ?",QueenPlz,08/04/2015 13:41,0,0
RT @occupythemob: Never forget #WalterScott was shot 8 times in the back. Handcuffed while bleeding to death. http://t.co/yHNEsB2VwH,Yarramo,08/04/2015 13:41,0,0
RT @alvar_f: Das ist doch eindeutig Notwehr!!!11: US-Polizist erschießt Schwarzen: http://t.co/YcNAHBIDfK http://t.co/XONi3DcrsL #WalterSco?,Cyrus_McDugan,08/04/2015 13:41,0,0
RT @NBCNews: South Carolina cop charged with murder after gunning down fleeing black man #WalterScott http://t.co/iIqSJXSVD0 http://t.co/ID?,EllisJohnson94,08/04/2015 13:41,0,0
Be Uncomfortable. #BlackLivesMatter #WalterScott https://t.co/wqOIgdJnWI,_KCummings_,08/04/2015 13:41,0,0
"RT @voice: Unarmed. Back turned. Still killed.

Don't let anyone not see this tonight.

#WalterScott http://t.co/Jtn5jtzxAW",N_Tedros2,08/04/2015 13:41,0,0
